Code,Genus,Host,ecoregion_III,ecoregion_IV
'UHM48.10177_Frog_Lithobates_sylvaticus_cluster21',Lithobates,Frog,Southwestern Appalachians,Cumberland Plateau
'UHM490.10360_Frog_Lithobates_sylvaticus_cluster21',Lithobates,Frog,Northeastern Highlands,White Mountains Blue Mountains
'UHM500.10383_Frog_Lithobates_sylvaticus_cluster21',Lithobates,Frog,Northeastern Highlands,Sebago-Ossipee Hills and Plains
'UHM500.10386_Frog_Lithobates_sylvaticus_cluster_9',Lithobates,Frog,Northeastern Highlands,Sebago-Ossipee Hills and Plains
'UHM512.10412_Frog_Lithobates_sylvaticus_cluster15',Lithobates,Frog,Ridge and Valley,Southern Sandstone Ridges
'UHM514.10415_Frog_Lithobates_clamitans_cluster15',Lithobates,Frog,Interior Plateau,Eastern Highland Rim
'UHM516.10416_Frog_Lithobates_clamitans_cluster12',Lithobates,Frog,Interior Plateau,Eastern Highland Rim
'UHM516.10422_Frog_Lithobates_clamitans_cluster14',Lithobates,Frog,Interior Plateau,Eastern Highland Rim
'UHM518.10425_Frog_Lithobates_clamitans_cluster20',Lithobates,Frog,Interior Plateau,Western Highland Rim
'UHM520.10428_Frog_Lithobates_sylvaticus_cluster5',Lithobates,Frog,Interior Plateau,Western Highland Rim
'UHM69.10185_Frog_Lithobates_sylvaticus_cluster21',Lithobates,Frog,Southwestern Appalachians,Cumberland Plateau
