OTU,Size,Taxonomy
Otu1208,25,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);f__Nectriaceae_unclassified(80);f__Nectriaceae_unclassified(80);
Otu1209,25,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Hymenochaetales(100);f__Schizoporaceae(100);g__Xylodon(92);g__Xylodon_unclassified(92);
Otu1210,25,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Geastrales(100);f__Geastraceae(100);g__Geastrum(100);g__Geastrum_unclassified(100);
Otu1211,25,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Trichosphaeriales(100);f__Trichosphaeriales_family_Incertae_sedis(100);g__unclassified_Trichosphaeriales(92);s__Trichosphaeriales_sp(92);
Otu1212,25,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Dermateaceae(100);g__unclassified_Dermateaceae(100);s__Dermateaceae_sp(100);
Otu1213,25,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(100);
Otu1214,25,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Cortinariaceae(100);g__Cortinarius(100);g__Cortinarius_unclassified(100);
Otu1215,25,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(72);c__Sordariomycetes_unclassified(72);c__Sordariomycetes_unclassified(72);c__Sordariomycetes_unclassified(72);c__Sordariomycetes_unclassified(72);
Otu1216,25,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1217,25,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporales_family_Incertae_sedis(100);g__Phoma(92);s__Phoma_paspali(92);
Otu1218,25,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1219,25,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreaceae(100);g__unclassified_Hypocreaceae(64);s__Hypocreaceae_sp(64);
Otu1220,25,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Lasiosphaeriaceae(100);g__Apodus(100);s__Apodus_sp(100);
Otu1221,25,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);
Otu1222,25,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_heterosporus(100);
Otu1223,25,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_heterosporus(100);
Otu1224,25,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1225,25,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_cystojenkinii(61);
Otu1226,25,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(84);p__Ascomycota_unclassified(84);p__Ascomycota_unclassified(84);p__Ascomycota_unclassified(84);p__Ascomycota_unclassified(84);
Otu1227,25,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Geastrales(100);f__Geastraceae(100);g__Geastrum(100);g__Geastrum_unclassified(100);
Otu1228,25,k__Fungi(100);k__Fungi_unclassified(72);k__Fungi_unclassified(72);k__Fungi_unclassified(72);k__Fungi_unclassified(72);k__Fungi_unclassified(72);k__Fungi_unclassified(72);
Otu1229,24,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);g__Tomentella(100);s__Tomentella_stuposa(100);
Otu1230,24,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Cortinariaceae(100);g__Cortinarius(100);g__Cortinarius_unclassified(100);
Otu1231,24,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Coprinellus(100);s__Coprinellus_micaceus(100);
Otu1232,24,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_biramosa(100);
Otu1233,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);c__Sordariomycetes_unclassified(100);
Otu1234,24,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Teratosphaeriaceae(100);g__Devriesia(100);s__Devriesia_sp(100);
Otu1235,24,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(88);o__Helotiales(88);o__Helotiales_unclassified(88);o__Helotiales_unclassified(88);o__Helotiales_unclassified(88);
Otu1236,24,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Teratosphaeriaceae(84);f__Teratosphaeriaceae_unclassified(84);f__Teratosphaeriaceae_unclassified(84);
Otu1237,24,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1238,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metarhizium(100);s__Metarhizium_pinghaense(100);
Otu1239,24,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);g__Basidiobolus_unclassified(71);
Otu1240,24,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);
Otu1241,24,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1242,24,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(71);o__Geoglossales(71);o__Geoglossales_unclassified(71);o__Geoglossales_unclassified(71);o__Geoglossales_unclassified(71);
Otu1243,24,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);c__Eurotiomycetes_unclassified(100);c__Eurotiomycetes_unclassified(100);c__Eurotiomycetes_unclassified(100);c__Eurotiomycetes_unclassified(100);
Otu1244,24,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(100);
Otu1245,24,k__Fungi(100);p__Ascomycota(75);p__Ascomycota_unclassified(75);p__Ascomycota_unclassified(75);p__Ascomycota_unclassified(75);p__Ascomycota_unclassified(75);p__Ascomycota_unclassified(75);
Otu1246,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);g__Nectria(100);s__Nectria_ramulariae(100);
Otu1247,24,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1248,24,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1249,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);g__Myrothecium(100);s__Myrothecium_tongaense(100);
Otu1250,24,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Auriculariales(100);f__Auriculariales_family_Incertae_sedis(100);g__Basidiodendron(100);g__Basidiodendron_unclassified(92);
Otu1251,24,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1252,24,k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellales_family_Incertae_sedis(100);f__Tremellales_family_Incertae_sedis_unclassified(100);f__Tremellales_family_Incertae_sedis_unclassified(100);
Otu1253,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);f__Hypocreales_family_Incertae_sedis_unclassified(100);f__Hypocreales_family_Incertae_sedis_unclassified(100);
Otu1254,24,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1255,24,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporales_family_Incertae_sedis(100);g__Phoma(100);s__Phoma_complanata(100);
Otu1256,24,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Botryosphaeriales(100);f__Botryosphaeriales_family_Incertae_sedis(100);g__Camarosporium(100);s__Camarosporium_sp(100);
Otu1257,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(80);c__Sordariomycetes_unclassified(80);c__Sordariomycetes_unclassified(80);c__Sordariomycetes_unclassified(80);c__Sordariomycetes_unclassified(80);
Otu1258,24,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Amphisphaeriaceae(100);g__unclassified_Amphisphaeriaceae(100);s__Amphisphaeriaceae_sp(100);
Otu1259,24,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);g__Tomentella(100);s__Tomentella_sp(100);
Otu1260,24,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiales_family_Incertae_sedis(100);f__Helotiales_family_Incertae_sedis_unclassified(100);f__Helotiales_family_Incertae_sedis_unclassified(100);
Otu1261,24,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_ranarum(84);
Otu1262,24,k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellales_family_Incertae_sedis(100);g__Hannaella(100);s__Hannaella_surugaensis(100);
Otu1263,24,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1264,23,k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellales_family_Incertae_sedis(100);g__Cryptococcus(100);s__Cryptococcus_sp_PYCC_4964(100);
Otu1265,23,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1266,23,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Meruliaceae(100);g__Hyphoderma(100);s__Hyphoderma_puberum(100);
Otu1267,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Diaporthales(100);f__Diaporthales_family_Incertae_sedis(100);g__Ophiognomonia(100);s__Ophiognomonia_sogonovii(66);
Otu1268,23,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1269,23,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);c__Leotiomycetes_unclassified(100);
Otu1270,23,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(100);
Otu1271,23,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1272,23,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Sclerotiniaceae(100);f__Sclerotiniaceae_unclassified(87);f__Sclerotiniaceae_unclassified(87);
Otu1273,23,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Colletogloeum(100);s__Colletogloeum_sp(100);
Otu1274,23,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiales_family_Incertae_sedis(100);g__Tetracladium(100);g__Tetracladium_unclassified(100);
Otu1275,23,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Mycosphaerella(100);s__Mycosphaerella_areola(100);
Otu1276,23,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1277,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metarhizium(100);s__Metarhizium_pinghaense(100);
Otu1278,23,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(100);
Otu1279,23,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);
Otu1280,23,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Cladophialophora(100);g__Cladophialophora_unclassified(92);
Otu1281,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Amphisphaeriaceae(100);g__Monochaetia(100);g__Monochaetia_unclassified(100);
Otu1282,23,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Pseudocercosporella(100);s__Pseudocercosporella_sp(100);
Otu1283,23,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1284,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Lasiosphaeriaceae(100);g__Podospora(100);s__Podospora_fabiformis(100);
Otu1285,23,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(100);
Otu1286,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Amphisphaeriaceae(100);g__Pestalotiopsis(100);g__Pestalotiopsis_unclassified(100);
Otu1287,23,k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(66);c__Lecanoromycetes_unclassified(66);c__Lecanoromycetes_unclassified(66);c__Lecanoromycetes_unclassified(66);c__Lecanoromycetes_unclassified(66);
Otu1288,23,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Cucurbitariaceae(100);g__Curreya(100);s__Curreya_sp(100);
Otu1289,23,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);g__unclassified_Thelephoraceae(100);s__Thelephoraceae_sp(100);
Otu1290,23,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1291,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);g__Nectria(100);s__Nectria_cinnabarina(87);
Otu1292,23,k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Sporidiobolales(100);f__unclassified_Sporidiobolales(100);g__unclassified_Sporidiobolales(100);s__Sporidiobolales_sp(100);
Otu1293,23,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(70);p__Ascomycota_unclassified(70);p__Ascomycota_unclassified(70);p__Ascomycota_unclassified(70);p__Ascomycota_unclassified(70);
Otu1294,23,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Hysteriales(100);f__Gloniaceae(100);g__Cenococcum(100);s__uncultured_Cenococcum(92);
Otu1295,23,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);g__Ilyonectria(100);s__Ilyonectria_liriodendri(100);
Otu1296,23,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_sp(100);
Otu1297,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(82);p__Ascomycota_unclassified(82);p__Ascomycota_unclassified(82);p__Ascomycota_unclassified(82);p__Ascomycota_unclassified(82);
Otu1298,22,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_ranarum(91);
Otu1299,22,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metarhizium(100);s__Metarhizium_pinghaense(100);
Otu1300,22,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_biramosa(100);
Otu1301,22,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(91);c__Sordariomycetes_unclassified(91);c__Sordariomycetes_unclassified(91);c__Sordariomycetes_unclassified(91);c__Sordariomycetes_unclassified(91);
Otu1302,22,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1303,22,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_ranarum(91);
Otu1304,22,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);
Otu1305,22,k__Fungi(100);p__Ascomycota(64);p__Ascomycota_unclassified(64);p__Ascomycota_unclassified(64);p__Ascomycota_unclassified(64);p__Ascomycota_unclassified(64);p__Ascomycota_unclassified(64);
Otu1306,22,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(91);
Otu1307,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);f__Thelephoraceae_unclassified(100);
Otu1308,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporales_family_Incertae_sedis(100);g__Phoma(100);g__Phoma_unclassified(82);
Otu1309,22,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Cladophialophora(100);g__Cladophialophora_unclassified(60);
Otu1310,22,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1311,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1312,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(78);f__Mycosphaerellaceae_unclassified(78);f__Mycosphaerellaceae_unclassified(78);
Otu1313,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1314,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1315,22,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1316,22,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Cladophialophora(100);s__Cladophialophora_sp_LS_2013(100);
Otu1317,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);o__Agaricales_unclassified(100);o__Agaricales_unclassified(100);o__Agaricales_unclassified(100);
Otu1318,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Sebacinales(100);f__Sebacinaceae(100);g__Sebacina(100);s__Sebacina_sp(91);
Otu1319,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);g__Tomentella(100);s__Tomentella_sp(69);
Otu1320,22,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__unclassified_Chaetothyriales(100);g__unclassified_Chaetothyriales(100);s__Chaetothyriales_sp(100);
Otu1321,22,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Vibrisseaceae(100);g__Phialocephala(100);s__Phialocephala_hiberna(100);
Otu1322,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1323,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(87);p__Ascomycota_unclassified(87);p__Ascomycota_unclassified(87);p__Ascomycota_unclassified(87);p__Ascomycota_unclassified(87);
Otu1324,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1325,22,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1326,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1327,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Russulales(100);f__Russulaceae(100);g__Russula(100);g__Russula_unclassified(78);
Otu1328,22,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Geoglossales(100);f__Geoglossaceae(100);g__Geoglossum(100);s__Geoglossum_simile(100);
Otu1329,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Psathyrella(100);s__Psathyrella_squamosa(100);
Otu1330,22,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Xylariaceae(100);g__Hypoxylon(100);s__Hypoxylon_sp(100);
Otu1331,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Russulales(100);f__Stereaceae(100);f__Stereaceae_unclassified(100);f__Stereaceae_unclassified(100);
Otu1332,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1333,22,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu1334,22,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metacordyceps(100);s__Pochonia_chlamydosporia_var_spinulospora(100);
Otu1335,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Teratosphaeriaceae(100);g__Devriesia(100);s__Devriesia_sp(100);
Otu1336,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1337,22,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Microascales(100);f__Ceratocystidaceae(100);g__Ceratocystis(100);s__Ceratocystis_adiposa(100);
Otu1338,22,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu1339,22,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu1340,22,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Geastrales(100);f__Geastraceae(100);g__Geastrum(100);g__Geastrum_unclassified(100);
Otu1341,21,k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(62);c__Tremellomycetes_unclassified(62);c__Tremellomycetes_unclassified(62);c__Tremellomycetes_unclassified(62);c__Tremellomycetes_unclassified(62);
Otu1342,21,k__Fungi(100);p__Ascomycota(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);p__Ascomycota_unclassified(81);
Otu1343,21,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Pseudocercospora(100);s__Pseudocercospora_norchiensis(100);
Otu1344,21,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Ramularia(100);s__Ramularia_sp(91);
