OTU,Size,Taxonomy
Otu0027,6692,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);
Otu0028,6639,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(92);c__Sordariomycetes_unclassified(92);c__Sordariomycetes_unclassified(92);c__Sordariomycetes_unclassified(92);c__Sordariomycetes_unclassified(92);
Otu0029,6502,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu0030,6502,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(99);p__Ascomycota_unclassified(99);p__Ascomycota_unclassified(99);p__Ascomycota_unclassified(99);p__Ascomycota_unclassified(99);
Otu0031,6348,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);p__Ascomycota_unclassified(94);
Otu0032,6283,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Geoglossales(100);f__Geoglossaceae(100);g__Geoglossum(100);s__Geoglossum_difforme(100);
Otu0033,5251,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(98);c__Sordariomycetes_unclassified(98);c__Sordariomycetes_unclassified(98);c__Sordariomycetes_unclassified(98);c__Sordariomycetes_unclassified(98);
Otu0034,5168,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);
Otu0035,5140,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(99);
Otu0036,4774,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Sordariaceae(100);g__Neurospora(100);s__Neurospora_terricola(100);
Otu0037,4717,k__Fungi(100);p__unclassified_Fungi(100);c__unclassified_Fungi(100);o__unclassified_Fungi(100);f__unclassified_Fungi(100);g__unclassified_Fungi(100);s__Neopestalotiopsis_foedans(100);
Otu0038,4659,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(96);
Otu0039,4567,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(98);
Otu0040,4546,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_humilis(100);
Otu0041,4487,k__Fungi(100);p__Ascomycota(100);c__Ascomycota_class_Incertae_sedis(100);o__Ascomycota_order_Incertae_sedis(100);f__Ascomycota_family_Incertae_sedis(100);g__Cordana(100);s__Cordana_ellipsoidea(100);
Otu0042,4455,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Davidiellaceae(100);g__Cladosporium(100);s__Cladosporium_ramotenellum(100);
