,Kingdom,Phylum,Class,Order,Family,Genus
ASV_5413,k__Fungi,p__Ascomycota,c__Pezizomycotina_cls_Incertae_sedis,o__Pezizomycotina_ord_Incertae_sedis,f__Pezizomycotina_fam_Incertae_sedis,g__Ciliophora
ASV_5414,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_5415,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Acrospermales,f__Acrospermaceae,g__Acrospermum
ASV_5416,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
ASV_5417,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA
ASV_5418,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Zasmidium
ASV_5419,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Geastraceae,g__Geastrum
ASV_5420,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_5421,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium
ASV_5422,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_5423,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Erysiphales,f__Erysiphaceae,g__Podosphaera
ASV_5424,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma
ASV_5425,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,NA
ASV_5426,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius
ASV_5427,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora
ASV_5428,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula
ASV_5429,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA
ASV_5430,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,NA
ASV_5431,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_5432,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Subulicystidium
ASV_5433,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA
ASV_5434,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella
ASV_5435,k__Fungi,p__Ascomycota,NA,NA,NA,NA
ASV_5436,k__Fungi,p__Basidiomycota,NA,NA,NA,NA
ASV_5437,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_5438,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma
ASV_5439,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA
ASV_5440,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Byssocorticiaceae,g__Byssocorticium
ASV_5441,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,NA,NA
ASV_5442,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora
ASV_5443,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA
ASV_5444,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula
ASV_5445,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA
ASV_5446,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_5447,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,NA
ASV_5448,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA
