,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_2,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_3,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_4,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_5,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_7,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_8,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_9,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_10,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_11,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_12,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_14,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_16,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_17,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_18,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_19,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_20,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_21,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_23,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_25,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_26,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_27,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_29,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_30,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_31,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_32,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_34,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia
ASV_35,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_36,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_37,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_39,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_40,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_41,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
ASV_42,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum
ASV_43,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_44,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_45,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_46,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_47,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Paramyrothecium
ASV_48,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Albatrellaceae,g__Leucogaster
ASV_51,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,g__Scopuloides
ASV_52,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_53,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_54,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_56,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_57,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_58,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_60,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_62,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_63,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium
ASV_64,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_65,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_66,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Trichocladium
ASV_67,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_68,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_69,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_70,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Neopestalotiopsis
ASV_73,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_74,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_75,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Emericellopsis
ASV_76,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_77,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_78,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_79,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_80,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_81,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_83,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae,g__Spadicoides
ASV_84,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_85,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_87,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_88,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_89,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Striatibotrys
ASV_90,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_91,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_92,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_93,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_95,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_98,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_99,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_100,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_101,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_102,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_103,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius
ASV_104,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_105,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,NA,NA
ASV_107,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,NA
ASV_108,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum
ASV_110,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Ceratocystidaceae,g__Huntiella
ASV_112,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella
ASV_114,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Pestalotiopsis
ASV_115,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium
ASV_116,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_117,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_119,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria
ASV_120,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_122,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_123,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,NA,NA
ASV_125,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_126,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Annulatascales,NA,NA
ASV_127,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces
ASV_128,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_129,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_130,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_131,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Geoglossum
ASV_132,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_133,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium
ASV_134,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_135,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_136,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_137,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_139,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_140,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_141,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_142,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_143,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_145,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae,g__Spadicoides
ASV_146,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_148,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Erysiphales,f__Erysiphaceae,g__Podosphaera
ASV_149,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_150,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia
ASV_151,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium
ASV_152,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae,g__Spadicoides
ASV_153,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA
ASV_154,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria
ASV_155,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
ASV_156,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_158,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella
ASV_159,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_160,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_162,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_164,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor
ASV_165,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_167,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_168,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula
ASV_169,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_170,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_171,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,g__Aureobasidium
ASV_172,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Porosphaerella
ASV_173,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_174,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA
ASV_176,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_178,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypomyces
ASV_180,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA
ASV_181,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Platygloeales,NA,NA
ASV_183,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina
ASV_185,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_186,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_187,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_188,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_189,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_193,k__Fungi,p__Olpidiomycota,c__GS18,o__GS18,NA,NA
ASV_194,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_195,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia
ASV_196,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_197,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala
ASV_198,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_199,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_200,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA
ASV_201,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_204,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
ASV_205,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_206,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_207,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_209,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_210,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_212,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces
ASV_213,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_214,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium
ASV_217,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,NA
ASV_218,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_219,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora
ASV_221,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_223,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_224,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae,g__Spadicoides
ASV_225,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_226,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_228,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Phaffomycetaceae,g__Wickerhamomyces
ASV_229,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_231,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA
ASV_232,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella
ASV_233,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_234,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium
ASV_237,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma
ASV_239,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Pestalotiopsis
ASV_241,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_242,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_243,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium
ASV_244,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae,g__Spadicoides
ASV_245,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_246,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces
ASV_247,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_249,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_250,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia
ASV_253,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Tolypocladium
ASV_255,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_256,k__Fungi,p__Ascomycota,c__Lecanoromycetes,NA,NA,NA
ASV_257,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_258,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula
ASV_260,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_261,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius
ASV_262,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria
ASV_263,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_264,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium
ASV_265,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_267,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_268,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium
ASV_270,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_271,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora
ASV_273,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudocamarosporium
ASV_274,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA
ASV_275,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_277,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_278,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_279,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Ceratobasidium
ASV_280,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_282,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina
ASV_285,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_286,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_287,k__Fungi,p__Ascomycota,c__Dothideomycetes,NA,NA,NA
ASV_289,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Lachnocladiaceae,g__Dichostereum
ASV_290,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus
ASV_293,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella
ASV_295,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_296,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Stemphylium
ASV_297,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Beauveria
