,STP101B,STP117B,STP118B,STP119B,STP120B,STP125B,STP127B,STP128B,STP129B,STP130B,STP133B,STP136B,STP142B,STP144B,STP145B,STP149B,STP150B,STP151B,STP153B,STP154B,STP156B,STP161B,STP165B,STP166B,STP172B,STP173B,STP185B,STP193B,STP197B,STP201B,STP202B,STP204B,STP205B,STP206B,STP209B,STP20B,STP217B,STP218B,STP221B,STP224B,STP225B,STP24,STP245,STP247,STP248,STP249,STP25,STP250,STP26,STP27,STP29,STP292,STP293,STP294,STP30,STP40B,STP41B,STP42B,STP46B,STP47B,STP48B,STP503,STP505,STP509,STP50B,STP510,STP511,STP512,STP513,STP516,STP51B,STP552,STP557,STP558,STP559,STP560,STP561,STP563,STP564,STP565,STP567,STP570,STP571,STP572,STP578,STP579,STP588,STP592,STP595,STP596,STP601,STP602,STP603,STP604,STP606,STP607,STP608,STP609,STP610,STP612,STP666,STP667,STP669,STP672,STP673,STP674,STP676,STP67B,STP686,STP699,STP700,STP701,STP707,STP70B,STP713,STP719,STP71B,STP73B,STP746,STP748,STP74B,STP753,STP754,STP755,STP76B,STP79B,STP80B,STP84B,STP87B,STP89B,STP94B,STP97B,STP98B
ASV_12,104,179,785,292,5127,0,0,0,0,9,0,1798,0,120,328,377,154,0,528,0,0,1235,643,5796,14502,289,22,46403,1829,11260,11360,1362,11779,316,10742,148,22,0,3,0,93,265,9,0,0,0,187,0,5,26,0,0,0,0,0,0,257,219,173,2043,12155,5,0,0,166,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3,3280,0,0,0,0,0,0,0,0,0,0,49,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1799,0,0,5,0,0,145,0,0,388,124,0,0,676,0,243,49268,0,0,0,0,0,0,852,318,498
ASV_14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,16,0,0,4,1,0,0,16,0,9,0,0,0,0,5,0,0,0,0,13,0,0,6,0,3,0,0,4,0,3,0,0,6,0,15,0,0,0,0,0,5,0,3,4,11,10,10,16176,10136,9025,5616,54535,14566,17407,20018,3171,40794,16,2,8,5,208,0,0,0,0,0,0,3,0,0,0,6,0,11,3,4208,0,62,0,0,0,562,0,0,0,181,0,0,0
ASV_16,2933,1418,4677,171,2302,8452,10642,3106,2040,11429,2631,2069,575,1914,12618,3423,2807,8382,6080,4564,5325,194,3892,793,56,5239,0,482,500,337,423,307,7542,782,6,27,154,892,1225,3836,2182,1191,0,0,0,0,397,0,305,4033,18,0,0,0,2016,1673,1858,4615,466,333,891,0,0,0,5833,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842,0,0,0,0,0,2034,0,0,3118,3482,0,0,1391,0,43,0,482,1162,2577,1559,311,655,2759,3443,1495
ASV_17,0,293,2,10889,0,5,4,0,0,118,0,36,0,6,11,8,10,0,7,5,34,53582,55,15587,805,0,223,388,55968,6,1020,591,786,14,6843,3,0,16,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0,95,0,0
ASV_18,822,588,821,8,1947,619,108,30770,3915,0,27,934,64,4786,506,2014,230,3015,2832,12317,250,0,0,0,387,0,0,0,0,0,3,0,115,0,0,25,161,1564,1414,531,148,0,0,2,0,0,1241,0,0,838,5546,0,0,0,395,1025,809,58,10,112,246,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,1,0,316,0,1,1456,18319,0,0,1705,0,0,0,2510,384,198,8022,14922,1960,364,7766,869
ASV_19,0,29,57,0,102,0,0,116,80,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,138,0,113,0,63,100,71,0,26,0,2541,0,0,0,64,0,23,0,0,0,4,0,0,197,0,0,0,4,0,0,0,238,21,276,387,306,0,0,24,575,5,0,0,3,0,274,0,0,10,0,0,0,0,0,0,0,88,4,9,0,6,0,22,11,0,31315,8468,351,46,969,59332,4265,3216,2017,26269,0,9,0,0,119,0,0,151,0,0,0,0,0,59,0,0,122,42,0,431,170,7,18,0,0,208,0,342,216,149,8,0,9
ASV_20,0,247,3520,659,129,49,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,16092,4,21,0,0,875,0,2,2,0,6,0,3,0,0,0,4,109,289,114,105,10,27,51022,8,43,0,2,571,12,9,8,26,20109,1173,1942,0,0,0,3618,0,0,0,0,0,83,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,59,0,0,0,55,0,0,621,0,170,6,1,0,0,0,0,0,3,3,0,652,1,0,0,0,0,37,0,0,0,0,1,5581,164,6494,3978,0,2,0,3,5203,1485,166,0,1,65
ASV_21,0,780,0,9551,2,0,0,0,0,33,0,20,0,0,3,3,0,0,0,0,0,13688,12,4155,227,4,6,199,79572,6,2795,526,2543,0,2483,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,480,0,0,0,0,0,0,0,0,0,0,4342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,0,0,0,0,0,14,0,0
ASV_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,0,0,0,2,118785,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,3,0,9,112602,12,3,429,0,0,0,0,4,0,0,0,0,0,11,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
