sample ID,host_animal,host_genus,host_species,site,state,lat,lon,year,month ,day
STP707,lizard,Urosaurus,ornatus,Turkey Creek - Chiracava Mountains,AZ,31.86174099,-109.3585402,,,
STP709,lizard,Sceloporus,virgatus,Turkey Creek - Chiracava Mountains,AZ,31.86174099,-109.3585402,,,
STP710,lizard,Urosaurus,ornatus,Turkey Creek - Chiracava Mountains,AZ,31.86174099,-109.3585402,,,
STP713,lizard,Sceloporus,virgatus,Turkey Creek - Chiracava Mountains,AZ,31.86174099,-109.3585402,,,
STP715,lizard,Urosaurus,ornatus,Turkey Creek - Chiracava Mountains,AZ,31.86174099,-109.3585402,,,
STP719,lizard,Urosaurus,ornatus,Turkey Creek - Chiracava Mountains,AZ,31.86174099,-109.3585402,,,
STP736,lizard,Sceloporus,clarkii,"Coronado National Forest, AZ",AZ,31.86215271,-110.4025924,,,
STP739,lizard,Urosaurus,ornatus,"Coronado National Forest, AZ",AZ,31.86215271,-110.4025924,,,
STP746,lizard,Urosaurus,ornatus,"Coronado National Forest, AZ",AZ,31.86215271,-110.4025924,,,
NTCP1,NA,negative control,negative control,NA,NA,NA,NA,,,
STP101B,salamander,Plethodon,glutinosus_CladeG,"Wayah Gap, NC",NC,35.15398,-83.5801,,,
STP117B,salamander,Plethodon,glutinosus_CladeF,"MG House, NC",NC,35.341833,-83.72497,,,
STP118B,salamander,Plethodon,glutinosus_CladeF,"MG House, NC",NC,35.341833,-83.72497,,,
STP119B,salamander,Plethodon,glutinosus_CladeF,"MG House, NC",NC,35.341833,-83.72497,,,
STP120B,salamander,Plethodon,glutinosus_CladeF,"MG House, NC",NC,35.341833,-83.72497,,,
STP125B,salamander,Plethodon,glutinosus_CladeF,"Grassy Gap, TN",TN,35.3704,-84.08699,,,
STP127B,salamander,Plethodon,glutinosus_CladeF,"Grassy Gap, TN",TN,35.3704,-84.08699,,,
STP128B,salamander,Plethodon,glutinosus_CladeD,"Grassy Gap, TN",TN,35.3704,-84.08699,,,
STP129B,salamander,Plethodon,glutinosus_CladeF,"Grassy Gap, TN",TN,35.3704,-84.08699,,,
STP133B,salamander,Plethodon,glutinosus_CladeD,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP136B,salamander,Plethodon,glutinosus_CladeF,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP142B,salamander,Plethodon,glutinosus_CladeF,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP144B,salamander,Plethodon,glutinosus_CladeD,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP145B,salamander,Plethodon,glutinosus_CladeF,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP149B,salamander,Plethodon,glutinosus_CladeD,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP150B,salamander,Plethodon,glutinosus_CladeD,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP151B,salamander,Plethodon,glutinosus_CladeD,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP153B,salamander,Plethodon,glutinosus_CladeD,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP154B,salamander,Plethodon,glutinosus_CladeF,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP156B,salamander,Plethodon,glutinosus_CladeF,"Rattlesnake West, TN",TN,35.34683,-84.06108,,,
STP161B,salamander,Plethodon,glutinosus_CladeC,"Pigeon Mountain, GA",GA,34.70266,-85.33889,,,
